t_sec,galvo_x,galvo_y,surface
0.000,1275,1788,poster
1.314,1715,1788,poster
2.627,2155,1788,poster
3.974,2595,1788,poster
5.334,3035,1788,poster
6.672,1275,2228,poster
8.047,1715,2228,poster
9.369,2155,2228,poster
10.727,2595,2228,poster
12.060,3035,2228,poster
13.433,1275,2668,poster
14.819,1715,2668,poster
16.156,2155,2668,poster
17.479,2595,2668,poster
18.810,3035,2668,poster
20.136,1275,3108,poster
21.453,1715,3108,poster
22.799,2155,3108,poster
24.176,2595,3108,poster
25.551,3035,3108,poster
26.915,1275,3548,poster
28.278,1715,3548,poster
29.634,2155,3548,poster
30.996,2595,3548,poster
32.341,3035,3548,poster
0.000,3175,1068,mockup
1.337,3325,1068,mockup
2.705,3475,1068,mockup
4.041,3625,1068,mockup
5.377,3775,1068,mockup
6.688,3175,1218,mockup
8.032,3325,1218,mockup
9.408,3475,1218,mockup
10.746,3625,1218,mockup
12.088,3775,1218,mockup
13.448,3175,1368,mockup
14.830,3325,1368,mockup
16.214,3475,1368,mockup
17.558,3625,1368,mockup
18.890,3775,1368,mockup
20.251,3175,1518,mockup
21.571,3325,1518,mockup
22.951,3475,1518,mockup
24.286,3625,1518,mockup
25.648,3775,1518,mockup
26.967,3175,1668,mockup
28.294,3325,1668,mockup
29.614,3475,1668,mockup
30.974,3625,1668,mockup
32.345,3775,1668,mockup
