# size,1920,1080
galvo_x,galvo_y,img_x,img_y
3175.0,1068.0,1416.238,980.920
3325.0,1068.0,1474.240,980.196
3475.0,1068.0,1532.063,979.424
3625.0,1068.0,1591.090,979.288
3775.0,1068.0,1652.295,979.633
3175.0,1218.0,1413.285,923.754
3325.0,1218.0,1470.501,922.918
3475.0,1218.0,1528.411,922.427
3625.0,1218.0,1586.550,921.953
3775.0,1218.0,1647.615,921.579
3175.0,1368.0,1411.114,867.255
3325.0,1368.0,1467.250,866.841
3475.0,1368.0,1524.910,866.086
3625.0,1368.0,1582.786,865.804
3775.0,1368.0,1643.327,864.799
3175.0,1518.0,1407.930,811.515
3325.0,1518.0,1464.125,811.732
3475.0,1518.0,1521.457,810.822
3625.0,1518.0,1579.438,810.459
3775.0,1518.0,1639.275,809.657
3175.0,1668.0,1405.307,757.495
3325.0,1668.0,1461.434,756.868
3475.0,1668.0,1518.425,756.734
3625.0,1668.0,1576.244,755.602
3775.0,1668.0,1635.264,755.308
