# size,1920,1080
galvo_x,galvo_y,img_x,img_y
1275.0,1788.0,659.204,768.891
1715.0,1788.0,816.227,763.954
2155.0,1788.0,967.740,760.474
2595.0,1788.0,1117.469,758.116
3035.0,1788.0,1272.314,756.313
1275.0,2228.0,660.125,619.532
1715.0,2228.0,815.709,615.152
2155.0,2228.0,965.107,611.006
2595.0,2228.0,1113.985,607.691
3035.0,2228.0,1267.833,604.700
1275.0,2668.0,657.755,471.564
1715.0,2668.0,812.673,467.230
2155.0,2668.0,962.206,462.584
2595.0,2668.0,1110.685,458.602
3035.0,2668.0,1263.309,454.706
1275.0,3108.0,651.556,320.786
1715.0,3108.0,807.360,316.298
2155.0,3108.0,957.504,311.146
2595.0,3108.0,1106.838,306.457
3035.0,3108.0,1260.511,301.423
1275.0,3548.0,640.715,162.105
1715.0,3548.0,798.073,157.397
2155.0,3548.0,951.300,152.954
2595.0,3548.0,1103.705,147.123
3035.0,3548.0,1259.664,141.100
